[2026-01-17 15:07:56 INF] [] Configuring services
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemFurniture.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemGem.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemJewelry.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemJukebox.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemKey.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemLight.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemMap.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemMoney.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemPill.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemPortal.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemPotion.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemQuest.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemScroll.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemShield.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemStaff.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemTrash.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemTreasure.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemWand.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemWarpstone.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Item.ItemWeapon.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Flags.FlagsManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Combat.RageGenerator.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Combat.ResistanceCalculator.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Character.CharacterManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Character.PlayableCharacter.PlayableCharacter.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Character.NonPlayableCharacter.NonPlayableCharacter.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Aura.AuraManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Aura.DispelManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Area.AreaManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Admin.Admin.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Admin.AdminManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Ability.AbilityManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Ability.OmniscienceManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Ability.AbilityGroup.AbilityGroupManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.AffectManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Room.RoomFlagsAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Room.RoomHealRateAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Room.RoomResourceRateAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Item.ItemFlagsAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Item.ItemWeaponFlagsAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterAdditionalHitAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterAttributeAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterFlagsAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterIRVAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterResourceAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterSexAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterShieldFlagsAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Affects.Character.CharacterSizeAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Class.ClassManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Class.ClassSanityCheck.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.AvatarCreationStateMachine.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Misc.Bug.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Misc.Typo.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Information.Areas.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Information.Page.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Information.Who.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Communication.Afk.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Communication.Answer.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Communication.Gossip.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Communication.Question.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Communication.Replay.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Communication.Reply.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Communication.Tell.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Avatar.CreateAvatar.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Avatar.DeleteAvatar.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Avatar.Impersonate.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Avatar.ListAvatar.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Avatar.UnImpersonate.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Alias.Alias.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Alias.Unalias.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Account.Delete.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Account.Password.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Account.Quit.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Player.Account.Save.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Social.DynamicSocialCommand.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Social.Socials.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Shop.Buy.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Shop.List.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Shop.Sell.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Shop.Value.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.Quest.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.QuestAbandon.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.QuestAuto.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.QuestComplete.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.QuestGet.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.QuestHistory.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.QuestInfo.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Quest.QuestList.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Item.Destroy.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Item.Sacrifice.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Item.Split.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.Affects.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.Auto.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoAffect.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoAll.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoAssist.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoExit.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoGold.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoLoot.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoSacrifice.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.AutoSplit.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.ItemAffects.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.ShortAffects.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Information.Worth.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Group.Group.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Group.Leave.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Group.NoFollow.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Group.Order.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Communication.GroupSay.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Communication.Pray.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Combat.Murder.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Combat.Wimpy.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Attribute.Train.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Alias.Alias.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Alias.Unalias.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Ability.Gain.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Ability.Groups.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.PlayableCharacter.Ability.Practice.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Close.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Down.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.East.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Enter.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Follow.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Lock.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.NoFollow.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.North.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.NorthEast.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.NorthWest.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Open.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Rest.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Sit.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Sleep.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.South.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.SouthEast.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.SouthWest.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Stand.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Unlock.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Up.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Visible.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.Wake.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Movement.West.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Drink.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Drop.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Eat.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Fill.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Get.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Give.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Hold.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Pour.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Put.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Quaff.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Remove.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Wear.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Item.Wield.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Affects.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Compare.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Equipment.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Examine.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Exits.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Inventory.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Look.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Scan.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Score.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.ShortAffects.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Time.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Weather.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Where.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Information.Worth.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Communication.Emote.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Communication.Say.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Communication.Shout.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Communication.Whisper.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Communication.Yell.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Combat.Consider.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Combat.Flee.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Combat.Kill.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Ability.Abilities.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Ability.Cast.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Ability.Cooldowns.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Ability.Passives.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Ability.Skills.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Ability.Spells.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Character.Ability.Weapons.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Incarnate.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Quest.QuestDisplay.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Quest.QuestReset.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Punish.AddLag.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Punish.Force.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Punish.Snoop.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Abilities.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Areas.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Cfind.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Cinfo.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Cstat.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.DumpCommands.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Ifind.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Iinfo.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Info.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Istat.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Passives.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Path.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Resets.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Rfind.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Rinfo.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Rstat.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Skills.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Spells.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Stat.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Uniqueness.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Weapons.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Who.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Information.Wiznet.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Communication.AdminTalk.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.AlwaysSafe.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.Holylight.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.Impersonate.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.Infinite.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.NoDeath.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.Omniscient.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.PassThru.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Avatar.UberMode.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Cload.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Goto.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Oload.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Peace.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Promote.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Purge.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.ResetArea.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Restore.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.SanityCheck.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Shutdown.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Slay.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.Transfer.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Administration.XpBonus.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Admin.Account.Delete.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Actor.Commands.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Actor.Help.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Commands.Actor.Syntax.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Effects.EffectManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Effects.WeaponEffectManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.GameAction.CommandParser.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.GameAction.GameActionManager.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.Guards.GuardGenerator.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.FireShield.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.IceShield.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.ShadowWordPain.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.ShockShield.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.SpellConstruct.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.SpellGiantSize.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.SpellTest.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Spells.SpellTestRoom.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.BearForm.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.CatForm.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.Claw.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.DemoralizingRoar.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.FerociousBite.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.Maul.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.Rake.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Skills.Swipe.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Races.Insectoid.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Races.Pixie.
[2026-01-17 15:07:56 INF] [] Registering type Mud.Server.POC.Races.NonPlayableRaces.Bee.
